,,,,,,,,,
,,,,,,,,,
Armet,6,4,3,,520,45,1300,325,30
Tassette,6,6,3,,600,50,1580,395,20
Armet lourd,7,6,3,,640,50,1950,"487,5",10
{MAINS},0,0,0,0,0,0,0,0,0
Gants de cuir,1,0,0,,40,10,50,"12,5",100
Gants de cuir lourd,1,0,1,,80,15,100,25,90
Mitaine de mailles,1,1,1,,120,20,150,"37,5",80
Gants de mailles,2,1,1,,160,25,240,60,60
Mitaines de plates,2,1,2,,200,27,300,75,30
Gantelets,2,2,2,,240,30,480,120,20
Gantelets Lourd,3,2,2,,280,40,700,175,10
Gantelets complets,3,2,3,,320,45,880,220,10
{EPAULES},0,0,0,0,0,0,0,0,0
Ailettes,1,0,0,,40,15,50,"12,5",60
Épaulières de cuir,1,1,0,,80,15,100,25,50
Spalières,2,1,1,,160,20,200,50,20
Epaulières de plates,2,2,1,,200,30,350,"87,5",10
Epaulières complètes,3,2,2,,280,40,630,"157,5",5
{JAMBES},0,0,0,0,0,0,0,0,0
Pantalon de cuir,1,1,0,,100,15,100,25,100
Pantalon de cuir lourd,2,1,1,,200,20,200,50,80
Pantalon de mailles,3,2,1,,300,30,360,90,60
Jambière,4,2,3,,450,40,810,"202,5",40
Cuissarde,5,3,3,,550,50,1210,"302,5",10
{PIEDS},0,0,0,0,0,0,0,0,0
Bottes,1,0,0,,40,10,60,15,100
Bottes lourdes,1,0,1,,80,15,120,30,90
Rangers,2,1,1,,160,15,240,60,10
Soleret,2,1,2,,200,30,400,100,40
Grèves,3,2,2,,280,40,710,"177,5",30
{BOUCLIER},block,,,Poids,Res,F req,Achat,Vente,Dispo
Targe,7,,,,300,10,80,20,100
Rondache,10,,,,400,15,100,25,90
Ecu,13,,,,500,20,200,50,80
Grand Bouclier,15,,,,800,30,300,75,70
Egide,18,,,,900,40,400,100,60
Pavois,20,,,,1000,50,500,125,50
